job_description,skill
"TO GENERATE LEADS AND SECURE NEW BUSINESS OPPORTUNITIES.DEVELOP AND MAINTAIN STRONG RELATIONSHIPS WITH KEY DECISION-MAKERS AND STAKEHOLDERS IN THE INDUSTRY.STAY UPDATED ON MARKET TRENDS","rates"
"AND INDUSTRY TRENDS.EXPERIENCE WORKING FOR AN INTERNATIONAL FREIGHT FORWARDING COMPANY WITH EXPERTISE IN SELLING AIR","ocean"
"AND IN-PERSON VISITS","to generate new business opportunities.manage pricing"
"WITH THE POTENTIAL TO SIGNIFICANTLY EXCEED YOUR INITIAL EXPECTATIONS BASED ON YOUR SUCCESS.REMOTE FLEXIBILITY: ENJOY THE FREEDOM TO WORK FROM ANYWHERE","setting your schedule to optimize client engagement and sales activities."
"ENGAGE WITH POTENTIAL CLIENTS","and convert them into valuable business relationships.the ideal candidate should have a comprehensive understanding of the insurance claims industry and the roles of different stakeholders involved. this includes insurance carriers"
"AND THE WORK THAT IS CONDUCTED BY THE BUSINESS. THEY SHOULD BE ABLE TO EFFECTIVELY COMMUNICATE THE VALUES AND BENEFITS OF DBI'S SERVICES","generating excitement and interest among clients and prospects. the candidate should have a strong team player mindset. they should be collaborative"
"WHILE MAINTAINING IDENTIFIED PREFERRED VENDOR AGREEMENTS","relationships"
"CLIENT SERVICE","or related experience is required.highly motivated and target driven individual.desire to build new relationships and drive account growth with existing clients.excellent written and oral business communication skills; capable of succinctly presenting the dbi competitive advantage.flexible and professional demeanor.strong computer skills including knowledge of microsoft office (word"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","business development"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","relationship management"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","procurement"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","communication"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","networking"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","proactivity"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","organization"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","detail-oriented"
"SHINE SYSTEMS IS A HUBZONE SMALL BUSINESS FEDERAL CONTRACTOR, FOUNDED IN 2007 AND HEADQUARTERED IN CHARLOTTESVILLE, VA.THE VP OF BUSINESS DEVELOPMENT IS A MEMBER OF THE SHINE SYSTEMS LEADERSHIP TEAM AND WILL IDENTIFY FEDERAL AGENCY OPPORTUNITIES AND WIN NEW CONTRACTS (BOTH PRIME AND SUBCONTRACT) RELATED TO SHINE SYSTEMS' CORE COMPETENCIES AND FOUR LINES OF BUSINESS:DECISION AND MILITARY INTELLIGENCE ANALYTICSTECHNOLOGY INTEGRATION AND SOFTWARE/SYSTEMS ENGINEERINGMISSION SUPPORTCYBERSECURITYTHIS ROLE DEVELOPS AND EXECUTES STRATEGIES THAT EXPAND OUR GROWTH INTO EXISTING AGENCIES’ CONTRACT WORK AND INTO NEW FEDERAL MARKETS AND AGENCIES.DESIRED PERSONAL CHARACTERISTICS:SEASONED PROFESSIONAL WITH CREDIBILITY IN THE FEDERAL MARKETPLACEABLE TO ENGAGE OWN NETWORK OF AGENCIES’ AND PARTNER COMPANIES’ STAKEHOLDERS IMMEDIATELYPROACTIVE; ACTIVELY SEEKS OPPORTUNITIES WITH MINIMAL DIRECTIONSTRONG COMMUNICATOR, BOTH WRITTEN AND VERBAL; ABLE TO CONNECT, BUILD, AND MAINTAIN KEY RELATIONSHIPSORGANIZED AND DETAIL-ORIENTED; ABLE TO EFFECTIVELY MANAGE MULTIPLE OPPORTUNITIES AND TEAMSREQUIRED QUALIFICATIONS:BACHELOR’S DEGREE REQUIRED / MASTER’S DEGREE A PLUS10+ YEARS PRIOR MANAGEMENT, FUNCTIONAL OR BUSINESS DEVELOPMENT EXPERIENCE INSIDE FEDERAL AGENCIESMUST SHOW AT LEAST $10M OF CLOSED NEW BUSINESS WITHIN THE PRIOR 18 MONTHS (EXCLUDES IDIQ AWARDS)7+ YEARS EXPERIENCE IN BUSINESS DEVELOPMENT, CAPTURE, PROCUREMENT, AND CONTRACTING WITH FEDERAL AGENCIESEXPERIENCE ESTABLISHING AND ACTIVELY MAINTAINING RELATIONSHIPS WITH PRIME CONTRACTORS AND SUBCONTRACTORSEXPERIENCE ACTIVELY PARTICIPATING IN, AND SUPPORTING, PROPOSAL EFFORTSPREFERRED QUALIFICATIONS:AN ACTIVE TS/SCI SECURITY CLEARANCECLOSED NEW BUSINESS WITH FEDERAL CIVILIAN AGENCIES WITHIN THE PRIOR 2 YEARS6+ YEARS MILITARY EXPERIENCEMUST SHOW CURRENT OR FORMER EMPLOYERS’ UNRESTRICTED ACCESS TO ALL FEDERAL AGENCIES","leadership"
